INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints
4,0.1,1,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,256,0.0793295859918771,0.080151307900601,0.0826097561874614,0.0804809854917697,0.0807131999014275,0.0806702636491934,0.080718544050577
4,0.2,1,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,256,0.113509833138177,0.115634726603671,0.11967700192225,0.116442963512136,0.116934006059912,0.116865178294139,0.116938859531645
3,0.1,1,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,256,0.0788285151972608,0.0804406837693378,0.082686241617957,0.0804408508058447,0.0805935876532064,0.0804417543218908,0.0805805842707725
3,0.2,1,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,256,0.113273996753585,0.118381495633713,0.120875073348781,0.117181622209496,0.117589492844082,0.11734044719449,0.11757119742494
4,0.1,2,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,128,0.0825101016491781,0.0842645985993255,0.0898192051924825,0.0844119975598358,0.0846079743147823,0.0840792120157448,0.0845489016726313
4,0.2,2,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,128,0.118147812075703,0.121549893688394,0.13069991550721,0.122637932881314,0.123171172902689,0.122420494851256,0.123071128543066
3,0.1,2,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,128,0.0813700694206431,0.0858377468268407,0.0858375305163998,0.082030198567477,0.0807108874576152,0.0806864721884005,0.0806912770366951
3,0.2,2,1,2.82842712474619,20191212_1405_SF6cLS,TRUE,128,0.116571118525841,0.122895133483621,0.123318100491787,0.118774825687938,0.115854486804274,0.115839061454499,0.115832674178935
