INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,-0.114628007438055,-0.0869809945977485,-0.0862226258266154,-0.0910304878945168,-0.0861087998231538,-0.0899601295585907,-0.0877943134701528,-0.0874133726552523
4,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,-0.235491855216832,-0.178378835444639,-0.177865536739077,-0.187712329074647,-0.177724053255472,-0.181780688151239,-0.179467396712435,-0.179043302060572
3,0.1,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,-0.104915036809129,-0.073862623142478,-0.0683037502769948,-0.0731861917932184,-0.0681488916409722,-0.0699285806808554,-0.0689730698477627,-0.0698433831178126
3,0.2,1,1,2.82842712474619,20191212_1434_76zMu8,TRUE,256,-0.215728598716263,-0.148285469410982,-0.141061743959585,-0.151180055875665,-0.14083974190344,-0.142718451999798,-0.141691509196761,-0.142919383294113
4,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,-0.114041439777136,-0.0835240847557602,-0.0853171568163005,-0.090108588731391,-0.0839551085617988,-0.103830290457239,-0.0865622490387104,-0.0886377779259617
4,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,-0.233751942104282,-0.170767449940635,-0.174626886780645,-0.185365551019137,-0.172969361001323,-0.193395239315604,-0.175622729453532,-0.177476333298348
3,0.1,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,-0.0984858017759937,-0.0701811202337966,-0.0627129402865643,-0.0686734260105244,-0.0611390139388238,-0.0603133245516551,-0.0621441341879765,-0.0632981066397632
3,0.2,2,1,2.82842712474619,20191212_1434_76zMu8,TRUE,128,-0.206042873725468,-0.143166640059326,-0.132565442326284,-0.145436968167512,-0.130017716578046,-0.129226137556147,-0.131066922352914,-0.133208571774544
