INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.1,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,2.34625745774711e-05,4.73969513550519e-05,4.6748534802583e-05,3.62849540093787e-05,4.48586506157127e-05,3.99453050406145e-05,4.25853690981317e-05,4.37344845559028e-05
4,0.1,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,3.62083198199236e-05,5.38379105017975e-05,5.218639208376e-05,3.96023870744312e-05,5.0389540616039e-05,4.5565980479769e-05,4.81604673548527e-05,4.93465793294376e-05
4,0.1,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,6.23739663617777e-05,5.0656429683278e-05,4.65072843046237e-05,3.30540356582585e-05,4.48730102022594e-05,4.06284811156911e-05,4.29036557289103e-05,4.415284709718e-05
4,0.1,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,8.61891796472291e-05,3.90927784382771e-05,3.29276268854794e-05,2.59559103112642e-05,3.08820491123647e-05,2.88268571334779e-05,2.98490025530804e-05,3.09137230125871e-05
4,0.1,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,0.000122219483813095,4.88837644189321e-05,4.67277244841838e-05,5.63144178643111e-05,4.5307634044049e-05,4.98092361934871e-05,4.73423710120638e-05,4.670345686869e-05
4,0.1,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,0.000170070698172179,0.000130952070179638,0.000131967189032325,0.000138003828324145,0.000131390803888732,0.000136564192499447,0.000133746078626046,0.000132777766736699
4,0.1,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,0.000145353396838654,8.29532995875473e-05,8.32962386930237e-05,9.25817109458194e-05,8.2402410641749e-05,8.75052121775084e-05,8.47246330273063e-05,8.37816666583339e-05
4,0.1,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,0.000181609713020805,0.00015617134111324,0.000157035758582952,0.000160994955759352,0.000156623552068146,0.000161777953933516,0.000158971397887997,0.00015803811440934
4,0.1,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,0.00019130631938801,0.000178557839472741,0.000179085205711078,0.000181076108536818,0.000178850522784399,0.000183976044837711,0.00018118710040903,0.000180297854542796
4,0.1,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,0.000197915217389858,0.000194434883913639,0.0001946068317174,0.000195146960029077,0.000194531730584603,0.000199632496102036,0.000196858720357361,0.000196004660026456
